"Dera.Ghazi.Khan.to.Gujrat","Dera.Ghazi.Khan.to.Multan","Dera.Ghazi.Khan.to.Rahim.Yar.Khan","Gujrat.to.Dera.Ghazi.Khan","Gujrat.to.Multan","Gujrat.to.Rahim.Yar.Khan","Hirat.to.Kabul","Kabul.to.Tehran","Multan.to.Dera.Ghazi.Khan","Multan.to.Gujrat","Multan.to.Rahim.Yar.Khan","Quetta.to.Karachi","Rahim.Yar.Khan.to.Dera.Ghazi.Khan","Shiraz.to.Tehran","Sukkur.to.Karachi","Tehran.to.Kermanshah","Turbat.to.Karachi","Turbat.to.Sukkur"
0,0,1.25997891355189,3.28153930643426,0,0,0.708693108130595,0,0,0,4.98846046753157,0,0,0,0,0,0.118368625698746,0
0,0,0,2.56292633926446,2.13167105187415,0,2.32330422862064,0,0,0,5.0438431941705,0,0,0,0,0,0.0816022342985982,0
0,0,0,0.939777670956909,0.805980793139125,0,0.931057602216969,0,0,0,4.60905242072277,0,0,0,0,0,0.043256072248895,0
0,0,0,0.611279809519567,0.818987033515577,0,1.16025976913417,0,0,0,3.29489067277891,0,0,0,0,0,0.155365655008664,0
2.13876574649312,0,0,1.19271463470249,1.55481003378502,0,1.5516239211706,0,0,0,2.98235675046042,0,0,0,0,0,0.10384626190785,0
1.79511593032203,0,0,1.26450577652939,1.12258552372655,0,3.02497934641909,0.506306087898251,0,0,2.87974880174242,0,0,0,0,0,0.0635957942962852,0
0,0,0,1.40523083217502,0.957498638967524,0,1.91883563007492,0,0,0,2.08660025232748,0,0,0,0,0,0.345092595207253,0
0,0,0,1.00978588251767,1.69712463127701,0,1.69974957834877,0,0,0,2.68230165809171,0,0,0,0,0,0.262865849948414,0
0.545570283171308,0.338235268746254,0,0.74604884410389,1.47375880620717,0,0.872397458407656,0,0,0,2.23011173800697,0,0,0,0,0,0.311470632981363,0
0.543537648591198,0.440339300917751,0,1.27375811023543,0,0,1.08917286103915,0,0,0,1.66952039912154,0,0,0,0,0,0.578132242127975,0
0,0.646399378181029,0,1.84372999634947,0,0,1.02431099938395,0,0,0,1.49262388464509,0,0,0,0,0,0.575087356958647,0
0,0.753528575613386,0,2.98278519093586,0,0,1.07641658652729,0,0,0,1.33362297280661,0,0,0,0,0,0.393728761055825,0
0,0.902864563660052,0,2.90777905915086,0,0,0.864008450344404,0,0,0,1.68703228004342,0,0,0,0,0,0.36456329754218,0
0,1.45238530270133,0,2.0389484536763,0,0,0.582894135623679,0,0,0,1.88489552017573,0,0,0,0,0,0.459151272655534,0
0,1.47935072286932,0,2.65527187805225,0,0,0.861488440236008,1.29939985000093,0,1.76309030388568,0.890851703175767,0,0,0,0,0,0.326942189528815,0
0,1.36516977612222,0,0.656076171428511,0,0,0.901089255547527,1.23203939435034,0,2.11740252733483,1.3967311655836,0,0.114565702672401,0,0,0,0.374909055683528,0
0,1.59766156844437,0,2.08090950152052,0,0,1.8157176329843,0.917905295685037,0,3.71453702316054,2.12395512679635,0,0,0,0,0,0.213046263674495,0
0,1.05218079258697,0,1.28837600191952,0,0,1.00761986986758,1.19929520012535,0,2.08221362480227,1.16738932434005,0,0,0,0,0,0.118199375985915,0
0,0.658486952259492,0,3.15002949551244,0,0,1.02974176686625,1.19212122602608,0,2.07695080733341,0.886901251085947,0,0,0,0.656796683157336,0.564259045651608,0.180420730158438,0
0,0.419485606427923,0,2.3671944237968,0,0,1.10404443135272,0.758675658000869,0,1.34846180223324,2.1509483052025,0,0,0,0,0,0.236319333986415,0
0,0.395337460670082,0,1.75356669113062,0,0,0.904178393188838,0.863906473118938,0,1.80871203047056,1.57562018331955,0,0,0,0,0,0.293720821547612,0
0,0.656104042526533,0,1.48307086506508,0,0,1.1878538266668,1.24557868294888,0,1.14779999266282,1.25213378899299,0,0,0,0,0,0.462218549130775,0
0,0.513686040907536,0,1.65593446236301,0,0,1.23890183710251,0.869872581623959,0,2.43368967211009,0.806479948915459,0,0,0,0,0,0.458672191314645,0
0,0.439132206140106,0,0.784533295490678,0,0,1.88957978050251,0.807738421214807,0,1.67796723980335,1.83755319341385,0,0,0,0,0,0.226000745196106,0
0,0.285582120395639,0,0.744634406724795,0,0,1.48136744967105,0.309420922445196,0,0.732100766706961,0.670075096136747,1.11648278339226,0,0,0,0,0.109884572862902,0
0,0.66928845295548,0,0.540293060393552,0,0.415630740192442,1.328023602047,0.566870414583337,0,0.681182578366491,0,1.60215208576109,0,0,0,0,0.0705826986356275,0
0,0.78476896847419,0,0.792736334400263,0,0.371367488658766,0.810339363272967,0.828990329387261,2.20884750551146,0.495178338197504,0,1.72732517889903,0,0,0,0,0.0566376222727697,0
0,0.623039104793509,0,1.19418640362654,0,0.172464346531831,0.488446000790364,0.752945173303198,0.885757596520838,0.758046883658927,0,0,0,0,0,0,0.0375097913820876,0
0,1.18061916307081,0,1.03990991265054,0,0.133782105850851,0.296865230098624,1.30167051977495,0.704880139185271,0,0,0,0,0,0,0,0.171717215545528,0
1.39475522276519,0.857592452211546,0,0.764491483650715,0,0,0.455224251123558,1.22700079161755,2.14917611619941,0,0,0,0,0,0,0,0.136465027634161,0
0,1.15179849937649,0,2.39272342249956,0,0,0.743796505972677,0.974128004238542,2.30728129557256,0,0,0,0,0,0,0,0.14392279265578,0
0,1.52444025754964,0,2.75877642633246,0.121469537327892,0,0.538207696608662,0.896187767489194,1.61418018656567,0,0,0,0,0,0,0,0.212792393339496,0
0,1.96496756686906,2.97056957238675,3.27702855330316,0,0,0.521125514377588,0.830217271923713,1.47180177006951,1.04081104279917,0,0,0,0,0,0,0.171961286456865,0
0,1.72545941701565,4.96921214999929,1.44704887042576,0,0,0.344576548181303,1.15776119822717,2.36062593525317,0,0,0,0,0,0,0,0.242983842686916,0
0,2.52247568289347,5.21042380566525,1.50977861008437,0,0,0.574186581737597,1.09281088558701,3.8973351600553,0.659730102751041,0,0,0,0,0,0,0.0695819769305043,0
0,1.96158558457828,2.15060070399621,1.61904531552066,0,0,0.367901497294264,2.45031548138069,2.59537961317318,0,0,0,0,0,0,0,0.0627858149534385,0
0,1.20346046761068,2.75304686801364,0.710367595710172,0,0,0.431706422712281,0.614178403975612,1.99629609755566,0,0,0,0,0,0,0,0.0302257374691285,0
0,1.33426241031364,1.21590339700183,0,0,1.05745581726863,0.360812400444323,0.679017202813738,1.32645908392575,0,0,0,0,0,0,0.302671237054119,0.0303646824014322,0
0,0.796231800420742,0.706856046216606,0,0,0.668596450288076,0.324781523308746,0.687695723724236,2.84692551327095,0,0.102895921942564,0,0,0,0,0,0.044569988984369,0
0,0.912976440014165,1.27123298043245,0,0,1.41755846460308,0.343158546744951,0.853684260020482,5.88489581156901,0,0.0856840207490247,0,0,0,0,0.343685535171462,0.102403699325079,0
0,1.39715852339779,2.04050256050209,0,0,1.14496870223555,0.97275102447369,0.636384377789763,4.56344605997186,0,0.112398282544394,0,0,0,0,0.253100293688609,0.0821003594135627,0
0,2.4339707129787,1.33040330356114,0,0,2.42760311623405,0.555130851476191,0.481909272919977,6.03907284107426,0,0,0,0.900734174821124,0,0,0,0.0546179777655339,0
0,2.69176342531532,0,0,0,1.96442484601074,0.570365357707802,0.911268514965599,4.59705639704781,0,0,0,0,0,0,0,0,0
0,2.85197947950144,0,0,0,2.29699042305037,0.375713828855762,0.755744867807006,0,0,0,0,0,0,0,0,0,0
0,1.52240142233843,0,0,0,6.97202612700381,0.153501308082236,0.328627304564561,0,0.671561867432131,0,0,0,0,0,0,0,0
0,1.54858391092645,0.398787420179751,0,0,2.58816019744849,0.317092498481259,0.435560895591399,0,1.07942866196152,0,0,0,0,0,0,0.0973164474480483,0
0,0.704954604394953,0.263811616690533,0,0.973073825723107,0.96881870835104,0.190891841566702,0.586565687938316,0,0,0,1.77698076797344,0,0,0,0,0.0847384758658272,0
0,0.339498748780421,0,2.5761189196493,0.632750378195176,0.296754206782086,0.237660284150279,0.548024446685756,0,0,0,0,0,0,0,0,0.0319459328666048,0
0,0.239215214172731,0,2.13924594675522,0,0.309543818097985,0.203350082241193,0.70310481919065,0,0,0.107151376339195,0,0,0,0,0,0.039743202006842,0
0,0.241960282202822,0,4.68227971136264,0,0.411045544566544,0.282634983239097,1.10828048756768,0,0,0.17137995471704,0,0,0,0,0,0.0536512257905221,0
0,0.399093299786404,0,3.7086826936556,0,0.220508749160425,0.284270954798984,0.959601885950482,0,0,0.166195459030736,0,0,0,0,0,0.10295297758427,0
0,0.501313448449388,0,0,0,1.35865446544422,0.328770303667958,1.4647254508714,0,0,0,0,0,0,0,0,0.125645174757158,0
0,0.364238116619757,0,3.9330196619651,0,2.2088711703857,0.340377159396372,2.32543938313048,1.24468050961042,0,0,0,1.51490617144197,0,0,0,0.0609333795098029,0
0,0.405602411522884,0,2.47073917765203,0,1.00881139433375,0.383658172520328,0.816028055983666,0,0,0,0,0,0.344623183985144,0,0,0.211348934782139,0
0,0.510842329338557,0,0.826647507362871,0,1.57897591765273,0.62378401830016,0,0,0,0,0,0,0.400587618768072,0,0,0.205366981825927,0
0,0.965598107226412,0,0,0,0,0.304786792064803,0,0,0,0,0,0,0.156979389547105,0,0,0.131456097161281,0
0,1.58583031564034,0.226888244018412,1.76734011613754,0,0,0.484512544386233,0,0,0,0,0,0,0.245259556947264,0,0,0.204537566170359,0
0,1.78820316602334,0,2.09134085920026,0,0,0.635025726570892,0,0,0,0.0441379604163056,0,0,0.632056065263465,0,0,0.152630294858894,0
0,2.81562392098408,0,2.28065336110393,0,0,0.31128196409172,0,0,0,0,0,0,0.21244975119718,0,0,0.171026950470049,0
0,2.23737609985741,0,0,0,0,0.313932639593054,0,0,0,0,0,0,0.389013242461863,0,1.3054548851859,0.12102475021887,0
0,1.10697711478836,0,0,0,0,0.235368546322014,0,0,0,0,0,0,0.397724090459562,0,0,0.184394841167092,0
0,1.08678590116831,0,0,0,0,0.191255264436019,0,0,0,0,0,0,0.47670137371855,0,0,0.0981474966475615,0
0,0.230253486418211,1.39341140781925,0,0,0,0.35982671717246,0,0,0,0,0,0,0.354119750218679,0,0,0.0529127782293867,0
0,0.319724795766194,1.24277296904869,0,0,0,0.205972887066735,0,0,0,0,0.472851243592712,0,0,0,0,0.204223573038662,0
0,0.682953791363124,0.542022732500695,4.02836876516758,0,0,0.240233354665698,0,0,0,0,0.629818556493158,0,0,0,0,0.302806839320189,0
